"individual","call.id","call.dur","nnotes","min5","min95","minbw","maxbw","mean5","mean95","max5","max95","meanbw","mindurnote","maxdurnote","noterate","note1dur","note1minfreq","note1maxfreq","note2dur","note2minfreq","note2maxfreq","range.bw","rest.dur","lastnotedur","lastnoteminfreq","lastnotemaxfreq","site","Site"
"MBGG7","MBGG7_78.6",1.26488018400002,3,796.875,1078.125,257.812,468.75,828.125,1167.96866666667,867.188,1265.625,339.843666666667,0.05,0.125,2.37176614666607,0.125,796.875,1265.625,0.075,867.188,1160.156,210.938,1.01488018400002,0.05,820.312,1078.125,"MB","MB"
"MBGG7","MBGG7_78.7",0.879245980999997,2,855.469,1218.75,339.844,375,867.1875,1224.6095,878.906,1230.469,357.422,0.1,0.1,2.27467630585622,0.1,855.469,1230.469,0.1,878.906,1218.75,35.156,0.679245980999997,0.1,878.906,1218.75,"MB","MB"
"MBGG7","MBGG7_78.8",1.01807429400003,2,796.875,1171.875,339.844,410.156,814.453,1189.453,832.031,1207.031,375,0.125,0.15,1.96449317283316,0.15,796.875,1207.031,0.125,832.031,1171.875,70.312,0.74307429400003,0.125,832.031,1171.875,"MB","MB"
"MBGG7","MBGG7_78.9",1.86646953899998,4,820.312,1101.562,269.531,328.125,858.39825,1145.5075,925.781,1195.312,287.10925,0.075,0.1,2.14308346127263,0.1,855.469,1183.594,0.075,925.781,1195.312,58.594,1.51646953899998,0.075,820.312,1101.562,"MB","MB"
"MBGG7","MBGG7_78.10",1.29573091999998,3,820.312,1136.719,316.406,375,835.937333333333,1179.68766666667,843.75,1218.75,343.75,0.1,0.15,2.31529552447513,0.15,843.75,1183.594,0.125,843.75,1218.75,58.594,0.920730919999983,0.1,820.312,1136.719,"MB","MB"
"MBGG7","MBGG7_78.11",2.02072322000004,4,808.594,1054.688,246.094,398.438,846.67975,1166.0155,890.625,1253.906,319.33625,0.1,0.15,1.97948930383446,0.15,855.469,1253.906,0.125,890.625,1195.312,152.344,1.54572322000004,0.1,808.594,1054.688,"MB","MB"
"MBGG7","MBGG7_78.12",1.804768067,4,808.594,1113.281,292.969,457.031,829.1015,1201.172,867.188,1277.344,372.0705,0.1,0.175,2.21635127146784,0.1,820.312,1277.344,0.1,867.188,1265.625,164.062,1.304768067,0.175,808.594,1148.438,"MB","MB"
"MBGG7","MBGG7_78.13",1.97591463999993,4,796.875,1007.812,210.938,363.281,829.1015,1139.6485,867.188,1183.594,310.54675,0.05,0.125,2.02437894786798,0.125,832.031,1183.594,0.1,867.188,1183.594,152.343,1.60091463999993,0.05,796.875,1007.812,"MB","MB"
"CHILL","CHILL_79.1",2.05385967099994,5,689.062,732.129,43.066,247.632,760.122,882.8614,818.262,1022.827,122.739,0.1088,0.2449,2.43444090684428,0.1361,775.195,1022.827,0.1633,818.262,968.994,204.566,1.21025967099994,0.2449,689.062,732.129,"SA","SA"
"CHILL","CHILL_79.2",1.27618465,3,742.896,936.694,118.433,226.099,789.551,968.994,829.028,1022.827,179.443666666667,0.0544,0.1633,2.35075700056413,0.0544,742.896,936.694,0.1088,829.028,947.461,107.666,0.949684650000005,0.1633,796.729,1022.827,"SA","SA"
